
267,"Маги: Лабиринт магии","Magi: The Labyrinth of Magic",#✅
268,"Проблемные дети приходят из иного мира, верно?","Mondaiji-tachi ga Isekai kara Kuru Sou Desu yo?",#✅
269,"Танец клинка элементалиста","Seireitsukai no Blade Dance",#✅
270,"По велению адской сестры","Shinmai Maou no Testament",#✅
271,"Цепные хроники OVA","Chain Chronicle: Short Animation",#✅
272,"Тринити: Семеро магов OVA","Trinity Seven: Nanatsu no Taizai to Nana Madoushi",#✅
273,"Ученик чудовища","Bakemono no Ko",#✅
274,"Шарлотта","Charlotte",#✅
275,"По велению адской сестры OVA","Shinmai Maou no Testament: Toujou Basara no Hard Sweet na Nichijou",#✅
276,"Лабиринт Грисайи","Grisaia no Meikyuu: Caprice no Mayu 0",#✅
277,"По велению адской сестры: Взрыв","Shinmai Maou no Testament Burst",#✅
278,"По велению адской сестры: Взрыв OVA","Shinmai Maou no Testament Burst: Toujou Basara no Shigoku Heiwa na Nichijou",#✅
279,"Скитальцы","Drifters",#✅
280,"Последний Серафим: Вампир Шахар","Owari no Seraph: Kyuuketsuki Shahar",#✅
281,"Твоё имя","Kimi no Na wa.",#✅
282,"Так говорил Рохан Кишибэ","Kishibe Rohan wa Ugokanai",#✅
283,"Класс убийц: 365 дней","Ansatsu Kyoushitsu: 365-nichi no Jikan",#✅
284,"Код Гиас: Лелуш Воскресший","Code Geass: Fukkatsu no Lelouch",#✅
285,"Код Гиас: Восставший Лелуш — Восстание","Code Geass: Hangyaku no Lelouch II - Handou",#✅
286,"Код Гиас: Восставший Лелуш — Император","Code Geass: Hangyaku no Lelouch III - Oudou",#✅
287,"Невеста чародея","Mahoutsukai no Yome",#✅
288,"Изобрази отвращение и покажи мне свои трусики","Iya na Kao sare nagara Opantsu Misete Moraitai",#✅
289,"Озорная Такаги: Водные горки","Karakai Jouzu no Takagi-san: Water Slide",#✅
290,"Зачатие: Роди мне ребёнка!","Conception",#✅
291,"Аватар короля 2","Quanzhi Gaoshou 2nd Season",#✅
292,"Тринити: Семеро магов — Небесная библиотека и Багровый Король","Trinity Seven Movie 2: Heavens Library to Crimson Lord",#✅
293,"Изобрази отвращение и покажи мне свои трусики 2","Iya na Kao sare nagara Opantsu Misete Moraitai 2",#✅
294,"Реинкарнация безработного: История о приключениях в другом мире","Mushoku Tensei: Isekai Ittara Honki Dasu",#✅
295,"О моём перерождении в слизь 2. Часть 1","Tensei shitara Slime Datta Ken 2nd Season",#✅
296,"Обещанный Неверленд 2","Yakusoku no Neverland 2nd Season",#✅
297,"Арифурэта: Сильнейший ремесленник в мире — Дополнительные эпизоды","Arifureta Shokugyou de Sekai Saikyou Specials",#✅
298,"Арифурэта: Сильнейший ремесленник в мире — Рекап","Arifureta Shokugyou de Sekai Saikyou Recap",#✅
299,"Код Гиас: Лелуш Воскресший — Запах моря","Code Geass: Fukkatsu no Lelouch Picture Drama",#✅
300,"Восхождение героя щита 2","Tate no Yuusha no Nariagari 2nd Season",#✅
301,"Восхождение героя щита 3","Tate no Yuusha no Nariagari 3rd Season",#✅
302,"Сон в замке демона","Maou-jou de Oyasumi",#✅
303,"Клинок, рассекающий демонов: Бесконечный поезд","Kimetsu no Yaiba Movie: Mugen Ressha-hen",#✅
304,"Непризнанный школой владыка демонов!","Maou Gakuin no Futekigousha",#✅
305,"Непутёвый ученик в школе магии: Гость","Mahouka Koukou no Rettousei: Raihousha-hen",#✅
306,"Арифурэта: Сильнейший ремесленник в мире 2","Arifureta Shokugyou de Sekai Saikyou 2nd Season",#✅
307,"Убивая слизней 300 лет, сама того не заметив, я достигла максимального уровня","Slime Taoshite 300-nen, Shiranai Uchi ni Level Max ni Nattemashita",#✅
308,"История о пареньке из деревни, расположенной перед сложнейшим подземельем","Tatoeba Last Dungeon Mae no Mura no Shounen ga Joban no Machi de Kurasu Youna Monogatari",#✅
309,"Последнее поле брани между тобой и мной, или Святая война сотворения мира","Kimi to Boku no Saigo no Senjou, Aruiwa Sekai ga Hajimaru Seisen",#✅
310,"Магическая битва","Jujutsu Kaisen (TV)",#✅
311,"Маг-целитель: Новый старт","Kaifuku Jutsushi no Yarinaoshi",#✅
312,"Девушка на час","Kanojo, Okarishimasu",#✅
313,"Доктор Стоун: Каменные войны","Dr. Stone: Stone Wars",#✅
314,"Инцидент Кэмоно","Kemono Jihen",#✅
315,"Лазурный путь: Малый вперёд!","Azur Lane: Bisoku Zenshin!",#✅
316,"Возвращение героя","Yingxiong Zai Lin",#✅
317,"Для тебя, Бессмертный","Fumetsu no Anata e",#✅
318,"Руководство по семенам фей","Yao Jing Zhong Zhi Shou Ce",#✅
319,"Повседневная жизнь бессмертного короля","Xian Wang de Richang Shenghuo",#✅
320,"Избранный богами","Kami-tachi ni Hirowareta Otoko",#✅
321,"Бог старшей школы","The God of High School",#✅
322,"Я стою на миллионах трупов","100-man no Inochi no Ue ni Ore wa Tatteiru",#✅
323,"Унеси меня на Луну","Tonikaku Kawaii",#✅
324,"Добро пожаловать в ад, Ирума! 2","Mairimashita! Iruma-kun 2nd Season",#✅
325,"Акудама Драйв","Akudama Drive",#✅
326,"Комбатанты будут высланы!","Sentouin, Hakenshimasu!",#✅
327,"Восемьдесят шесть","86",#✅
328,"О моём перерождении в слизь 2. Часть 2","Tensei shitara Slime Datta Ken 2nd Season Part 2",#✅
329,"О моём перерождении в слизь: Дневник слизи-попаданца","Tensura Nikki: Tensei Shitara Slime Datta Ken",#✅
330,"Повелитель тьмы: Другая история мира — Магия подчинения 2","Isekai Maou to Shoukan Shoujo no Dorei Majutsu Ω",#✅
331,"Клетки за работой: Тёмная сторона","Hataraku Saibou Black (TV)",#✅
332,"Герой-рационал перестраивает королевство","Genjitsu Shugi Yuusha no Oukoku Saikenki",#✅
333,"Сильнейший герой, обученный в тайном подземелье!","Ore dake Haireru Kakushi Dungeon",#✅
334,"День, когда я стала богом","Kamisama ni Natta Hi",#✅
335,"Романская железная дорога","Rail Romanesque",#✅
336,"Токийские мстители","Tokyo Revengers",#✅
337,"Тяжкий труд в подземелье","Meikyuu Black Company",#✅
338,"Не издевайся, Нагаторо","Ijiranaide, Nagatoro-san",#✅
339,"Божества Идатэн в мирном поколении","Heion Sedai no Idaten-tachi",#✅
340,"Персиковый мальчик, пришедший с другого побережья","Peach Boy Riverside",#✅
341,"Хоримия","Horimiya",#✅
342,"Скейт: Бесконечность","SK∞",#✅
343,"Приоритет чудо-яйца","Wonder Egg Priority",#✅
344,"Небесное вторжение","Tenkuu Shinpan",#✅
